english,bengali,pos
hello,হ্যালো,interjection
how are you,আপনি কেমন আছেন,phrase
thank you,ধন্যবাদ,phrase
thanks,ধন্যবাদ,phrase
please,অনুগ্রহ করে,adverb
yes,হ্যাঁ,adverb
no,না,adverb
good morning,শুভ সকাল,phrase
good night,শুভ রাত্রি,phrase
goodbye,বিদায়,interjection
water,পানি,noun
food,খাবার,noun
rice,ভাত,noun
book,বই,noun
house,বাড়ি,noun
school,স্কুল,noun
friend,বন্ধু,noun
family,পরিবার,noun
mother,মা,noun
father,বাবা,noun
brother,ভাই,noun
sister,বোন,noun
love,ভালোবাসা,noun
name,নাম,noun
time,সময়,noun
day,দিন,noun
night,রাত,noun
today,আজ,noun
tomorrow,আগামীকাল,noun
yesterday,গতকাল,noun
i,আমি,pronoun
you,তুমি,pronoun
he,সে,pronoun
she,সে,pronoun
we,আমরা,pronoun
they,তারা,pronoun
what,কী,pronoun
where,কোথায়,adverb
when,কখন,adverb
why,কেন,adverb
how,কীভাবে,adverb
who,কে,pronoun
go,যাওয়া,verb
come,আসা,verb
eat,খাওয়া,verb
drink,পান করা,verb
sleep,ঘুম,verb
work,কাজ,noun
study,পড়াশোনা,verb
speak,কথা বলা,verb
listen,শোনা,verb
read,পড়া,verb
write,লেখা,verb
happy,খুশি,adjective
sad,দুঃখিত,adjective
big,বড়,adjective
small,ছোট,adjective
good,ভালো,adjective
bad,খারাপ,adjective
beautiful,সুন্দর,adjective
new,নতুন,adjective
old,পুরনো,adjective
one,এক,number
two,দুই,number
three,তিন,number
four,চার,number
five,পাঁচ,number
market,বাজার,noun
money,টাকা,noun
city,শহর,noun
village,গ্রাম,noun
road,রাস্তা,noun
country,দেশ,noun
language,ভাষা,noun
english,ইংরেজি,noun
bengali,বাংলা,noun
teacher,শিক্ষক,noun
student,ছাত্র,noun
doctor,ডাক্তার,noun
i love you,আমি তোমাকে ভালোবাসি,phrase
what is your name,তোমার নাম কী,phrase
my name is,আমার নাম,phrase
nice to meet you,আপনার সাথে দেখা হয়ে ভালো লাগলো,phrase
see you later,পরে দেখা হবে,phrase
i am fine,আমি ভালো আছি,phrase
